date,avg_sentiment
2020-01-06,1.0
2020-01-09,1.0
2020-01-10,0.0
2020-02-04,0.0
2020-02-11,1.0
2020-02-13,0.0
2020-02-26,1.0
2020-03-03,0.0
2020-03-18,0.0
2020-03-25,0.0
2020-04-01,0.0
2020-04-01,0.0
2020-04-07,0.0
2020-04-13,0.0
2020-05-04,1.0
2020-05-06,0.0
2020-05-12,0.0
2020-05-19,1.0
2020-05-28,0.0
2020-06-02,0.0
2020-06-05,-1.0
2020-06-15,0.5
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.0
2020-07-01,0.0
2020-07-01,0.0
2020-07-09,0.0
2020-07-16,0.0
2020-08-03,0.0
2020-08-04,0.0
2020-08-07,1.0
2020-08-11,0.0
2020-08-12,0.0
2020-08-25,0.0
2020-09-03,0.0
2020-09-09,0.0
2020-09-12,0.0
2020-10-01,0.0
2020-10-01,0.0
2020-10-07,0.0
2020-10-13,-1.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,1.0
2020-10-30,1.0
2020-11-03,0.0
2020-11-10,1.0
2020-11-11,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-23,1.0
2020-11-24,0.0
2020-12-03,0.3333333333333333
2020-12-09,1.0
2020-12-10,1.0
2020-12-15,0.0
2020-12-22,0.0
2020-12-25,0.0
2021-01-03,0.0
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.0
2021-01-08,0.0
2021-01-18,0.0
2021-01-25,1.0
2021-02-01,0.0
2021-02-02,0.0
2021-02-04,1.0
2021-02-14,0.0
2021-02-17,0.0
2021-02-18,0.0
2021-02-23,0.0
2021-02-26,0.0
2021-03-02,1.0
2021-03-04,0.0
2021-03-09,1.0
2021-03-11,1.0
2021-03-12,1.0
2021-03-17,0.0
2021-03-23,0.0
2021-03-29,-1.0
2021-04-08,0.0
2021-04-20,1.0
2021-04-26,-1.0
2021-04-27,0.0
2021-05-06,1.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,1.0
2021-05-24,0.0
2021-05-29,0.0
2021-06-08,0.0
2021-06-10,0.0
2021-06-13,0.0
2021-06-15,0.0
2021-06-23,0.0
2021-06-24,0.0
2021-06-29,0.0
2021-07-09,0.0
2021-07-16,0.0
2021-07-26,0.0
2021-07-27,0.0
2021-07-28,0.0
2021-07-29,0.0
2021-08-04,1.0
2021-08-10,-1.0
2021-08-12,0.0
2021-08-13,0.0
2021-08-19,0.0
2021-08-31,0.0
2021-09-08,0.0
2021-09-16,1.0
2021-09-24,0.5
2021-09-25,0.0
2021-09-29,0.0
2021-10-01,1.0
2021-10-01,1.0
2021-10-06,0.0
2021-10-18,0.0
2021-10-25,0.0
2021-10-27,1.0
2021-11-05,1.0
2021-11-08,0.0
2021-11-15,0.0
2021-11-18,0.5
2021-11-23,0.0
2021-11-26,0.0
2021-12-03,0.0
2021-12-08,0.0
2021-12-15,0.0
2021-12-17,1.0
2021-12-20,0.0
2021-12-23,0.0
2021-12-27,0.0
2022-01-14,0.0
2022-01-19,-1.0
2022-01-20,1.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-02-01,0.0
2022-02-01,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-08,0.0
2022-02-28,0.0
2022-03-01,1.0
2022-03-01,1.0
2022-03-04,0.0
2022-03-10,0.0
2022-03-12,0.0
2022-03-16,0.0
2022-03-29,0.0
2022-03-31,1.0
2022-04-01,0.0
2022-04-01,1.0
2022-04-05,0.0
2022-04-18,0.0
2022-04-21,0.3333333333333333
2022-04-22,0.0
2022-05-04,1.0
2022-05-06,0.0
2022-05-09,0.0
2022-05-13,0.0
2022-05-16,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-25,-0.5
2022-06-06,0.0
2022-06-14,0.0
2022-06-26,1.0
2022-06-28,0.0
2022-06-29,0.0
2022-07-01,0.0
2022-07-04,0.0
2022-07-06,0.0
2022-07-07,0.0
2022-07-11,-1.0
2022-07-18,-1.0
2022-07-19,1.0
2022-07-28,0.0
2022-08-04,0.5
2022-08-05,0.0
2022-08-11,0.0
2022-08-16,-1.0
2022-08-19,0.0
2022-09-02,0.0
2022-09-05,0.0
2022-09-07,0.0
2022-09-13,0.0
2022-09-14,1.0
2022-09-17,-1.0
2022-09-27,0.0
2022-09-30,0.0
2022-10-13,0.0
2022-10-17,1.0
2022-10-19,0.0
2022-10-20,1.0
2022-11-09,0.0
2022-11-10,0.0
2022-11-21,1.0
2022-11-29,0.0
2022-12-02,0.0
2022-12-03,0.0
2022-12-06,1.0
2022-12-07,0.0
2022-12-09,0.0
2022-12-15,1.0
2022-12-21,1.0
2023-01-05,0.5
2023-01-09,0.0
2023-01-30,0.0
2023-02-01,0.0
2023-02-01,0.0
2023-02-06,-1.0
2023-02-07,1.0
2023-02-27,0.5
2023-03-01,0.0
2023-03-01,0.0
2023-03-08,0.0
2023-03-22,0.0
2023-03-23,0.0
2023-03-31,0.0
2023-04-03,0.0
2023-04-26,-1.0
2023-05-01,0.0
2023-05-05,1.0
2023-05-16,-1.0
