date,avg_sentiment
2020-10-26,0.0
2021-04-06,0.0
2021-05-20,1.0
2021-07-01,0.5
2021-07-01,0.5
2021-09-14,0.0
2021-12-20,1.0
2022-05-03,0.0
2022-05-05,0.0
2022-05-12,1.0
2022-07-27,0.0
2022-07-28,1.0
2022-08-17,0.0
2022-10-04,0.0
2022-11-01,0.0
2022-11-01,0.0
2022-12-06,1.0
2022-12-11,1.0
2022-12-25,0.0
2022-12-27,0.0
2023-01-07,0.0
2023-01-08,-1.0
2023-01-15,1.0
2023-01-29,1.0
2023-02-02,-1.0
2023-03-07,1.0
2023-04-24,0.0
2023-05-19,0.0
2023-05-20,1.0
2023-06-07,0.0
2023-08-03,1.0
2023-09-18,1.0
2023-09-22,0.0
2023-11-22,0.0
2023-12-26,-1.0
