date,avg_sentiment
2020-01-13,0.0
2020-01-29,0.0
2020-02-03,-1.0
2020-02-09,0.0
2020-02-27,1.0
2020-03-05,-1.0
2020-03-06,0.0
2020-03-20,-1.0
2020-04-08,0.0
2020-04-13,-1.0
2020-04-17,0.0
2020-04-28,-1.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-01,0.0
2020-05-07,-1.0
2020-05-11,-1.0
2020-05-13,-1.0
2020-05-17,1.0
2020-05-20,-1.0
2020-06-05,0.0
2020-06-11,-1.0
2020-06-19,0.0
2020-06-26,0.0
2020-06-30,0.0
2020-07-06,0.0
2020-07-15,0.0
2020-07-17,-1.0
2020-07-20,-1.0
2020-07-21,0.0
2020-08-12,-0.5
2020-08-17,0.5
2020-08-18,0.5
2020-08-24,0.0
2020-09-11,0.0
2020-09-17,0.0
2020-09-20,-1.0
2020-09-23,-1.0
2020-09-28,1.0
2020-10-12,1.0
2020-10-22,0.5
2020-10-23,0.0
2020-10-30,1.0
2020-11-04,-1.0
2020-11-05,0.0
2020-11-12,0.0
2020-11-17,0.0
2020-11-20,0.0
2020-12-18,-1.0
2021-01-05,0.0
2021-01-07,0.0
2021-01-13,0.0
2021-01-14,0.0
2021-01-20,-0.6666666666666666
2021-01-26,1.0
2021-01-27,0.0
2021-02-25,0.0
2021-03-05,-1.0
2021-03-11,0.0
2021-03-19,-1.0
2021-03-20,0.0
2021-03-26,0.5
2021-03-30,0.0
2021-03-31,0.0
2021-04-06,1.0
2021-04-22,0.0
2021-04-23,0.0
2021-04-29,-1.0
2021-04-30,-1.0
2021-05-07,0.0
2021-05-24,1.0
2021-05-26,-1.0
2021-06-03,0.0
2021-06-06,0.0
2021-06-11,0.0
2021-06-15,0.0
2021-06-18,0.0
2021-06-28,0.0
2021-07-12,0.0
2021-07-26,-1.0
2021-07-27,0.6666666666666666
2021-07-29,1.0
2021-08-02,0.0
2021-08-18,0.0
2021-09-14,-1.0
2021-09-15,1.0
2021-09-27,0.0
2021-10-05,-1.0
2021-10-13,0.0
2021-10-25,0.0
2021-10-29,0.0
2021-10-30,-1.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-13,0.0
2021-11-16,-1.0
2021-11-25,0.0
2021-12-14,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-24,1.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-11,-1.0
2022-01-14,-1.0
2022-01-23,0.0
2022-02-12,0.0
2022-02-16,0.0
2022-02-20,0.0
2022-02-22,0.0
2022-03-04,-1.0
2022-03-08,-0.5
2022-03-16,1.0
2022-03-21,0.0
2022-03-23,1.0
2022-03-30,0.0
2022-03-31,0.0
2022-04-01,0.0
2022-04-01,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-20,0.0
2022-04-22,1.0
2022-04-29,0.0
2022-05-03,0.0
2022-05-10,1.0
2022-05-11,1.0
2022-05-20,-1.0
2022-05-23,-1.0
2022-05-24,-1.0
2022-06-10,0.0
2022-06-11,0.0
2022-06-12,0.0
2022-06-13,0.0
2022-06-16,-1.0
2022-06-30,0.0
2022-07-11,-0.5
2022-07-14,0.0
2022-07-16,-1.0
2022-07-21,-1.0
2022-07-22,0.0
2022-07-27,1.0
2022-08-05,0.0
2022-08-08,-1.0
2022-08-16,-1.0
2022-08-24,1.0
2022-09-02,0.0
2022-09-05,0.0
2022-09-09,0.0
2022-09-14,-1.0
2022-09-15,-1.0
2022-09-18,0.0
2022-09-21,0.0
2022-10-17,1.0
2022-10-20,0.0
2022-10-27,0.0
2022-10-31,0.0
2022-11-03,0.5
2022-11-18,0.0
2022-11-22,-1.0
2022-11-23,-1.0
2022-11-24,-1.0
2022-12-08,0.0
2022-12-09,0.0
2022-12-14,-1.0
2022-12-18,-1.0
2022-12-29,0.0
2023-01-01,-1.0
2023-01-01,-1.0
2023-01-11,-1.0
2023-01-16,0.0
2023-01-17,0.0
2023-01-25,0.0
2023-01-26,1.0
2023-01-27,1.0
2023-01-31,0.0
2023-02-02,1.0
2023-02-09,0.0
2023-02-17,-0.5
2023-02-23,-1.0
2023-03-02,0.0
2023-03-06,0.0
2023-03-14,0.0
2023-03-15,0.0
2023-03-22,-1.0
2023-03-29,0.0
2023-04-06,1.0
2023-04-11,0.0
2023-04-13,0.0
2023-04-19,0.0
2023-04-25,1.0
2023-04-29,0.0
2023-05-10,0.0
2023-05-12,0.0
2023-05-31,0.0
2023-06-02,-1.0
2023-06-14,-1.0
2023-06-19,0.0
2023-06-20,0.0
2023-06-21,0.0
2023-06-24,-1.0
2023-06-29,-1.0
2023-06-30,-0.5
2023-07-06,1.0
2023-07-07,0.5
2023-07-08,0.0
2023-07-26,0.0
2023-07-27,1.0
2023-07-31,1.0
2023-08-01,-1.0
2023-08-02,1.0
2023-08-06,0.0
2023-08-08,1.0
2023-09-01,0.0
2023-09-01,-1.0
2023-09-06,-1.0
2023-09-12,1.0
2023-09-14,0.0
2023-09-19,0.0
2023-09-20,0.0
2023-09-28,0.0
2023-10-05,0.0
2023-10-17,0.0
2023-10-18,-1.0
2023-10-19,-1.0
2023-10-20,-1.0
2023-10-27,0.0
2023-11-03,0.0
2023-11-07,0.0
2023-11-10,1.0
2023-11-14,-1.0
2023-11-24,0.0
2023-11-29,0.0
2023-12-01,0.0
2023-12-01,0.0
2023-12-07,-1.0
2023-12-08,-1.0
2023-12-11,1.0
